Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
0,5,0,360.579,418.097,0,1
5,5,1,176.91,99.9431,0,1
0,5,0,267.186,314.553,0,1
0,5,0,349.137,342.807,0,1
0,5,0,273.451,306.844,0,1
0,5,0,453.701,459.952,0,1
0,5,0,365.846,321.937,0,1
5,5,1,219.265,54.628,0,1
5,5,1,160.795,105.914,0,1
0,5,0,510.731,429.605,0,1
5,5,1,205.379,96.7165,0,1
0,5,0,255.491,321.7,0,1
5,5,1,144.941,12.9439,0,1
0,5,0,305.67,385.03,0,1
5,5,1,166.526,121.793,0,1
1,5,0,309.239,364.642,0,1
5,5,1,206.782,93.103,0,1
0,5,0,396.71,396.123,0,1
0,5,0,258.865,314.159,0,1
0,5,0,474.507,420.092,0,1
1,5,0,309.241,365.145,0,1
0,5,0,280.236,326.982,0,1
0,5,0,299.176,405.617,0,1
0,5,0,270.241,314.541,0,1
0,5,0,342.49,366.491,0,1
0,5,0,326.345,420.064,0,1
0,5,0,366.668,335.944,0,1
2,5,0,262.402,250.894,0,1
0,5,0,468.91,481.9,0,1
2,5,0,265.84,250.754,0,1
0,5,0,462.199,433.582,0,1
0,5,0,406.948,409.492,0,1
2,2,1,104.704,39.5698,0,1
2,5,0,242.054,230.053,0,1
0,5,0,354.68,349.338,0,1
0,5,0,357.338,343.53,0,1
0,5,0,388.79,372.797,0,1
0,5,0,439.865,440.16,0,1
0,5,0,393.741,327.473,0,1
0,5,0,322.927,437.692,0,1
0,5,0,263.382,305.453,0,1
0,5,0,464.198,438.13,0,1
0,5,0,240.101,337.87,0,1
0,5,0,369.985,339.639,0,1
0,5,0,382.002,346.231,0,1
0,5,0,314.118,315.488,0,1
0,5,0,243.309,352.804,0,1
0,5,0,348.822,423.088,0,1
0,5,0,444.279,330.493,0,1
2,5,0,179.248,255.167,0,1
0,5,0,384.813,353.483,0,1
0,5,0,359.387,446.114,0,1
0,5,0,384.607,354.174,0,1
0,5,0,330.803,382.428,0,1
0,5,0,432.826,409.839,0,1
0,5,0,255.222,370.395,0,1
1,5,0,309.197,373.505,0,1
0,5,0,295.942,384.142,0,1
0,5,0,394.718,393.63,0,1
0,5,0,262.091,370.807,0,1
0,5,0,430.415,374.352,0,1
2,5,0,242.534,238.53,0,1
2,5,0,212.131,223.373,0,1
0,5,0,418.73,355.056,0,1
0,5,0,241.016,348.721,0,1
0,5,0,249.191,361.989,0,1
5,5,1,128.175,122.11,0,1
1,5,0,308.625,371.371,0,1
0,5,0,336.551,431.713,0,1
0,5,0,261.745,308.522,0,1
1,5,0,189.709,283.336,0,1
0,5,0,401.899,402.905,0,1
4,5,0,319.514,357.798,0,1
0,5,0,384.271,354.842,0,1
0,5,0,304.459,399.967,0,1
0,5,0,241.697,322.046,0,1
1,5,0,203.696,294.122,0,1
